Point Name,Code,Original Latitude,Original Longitude,Original Altitude,Station Correction x,Station Correction y,Station Correction h,Latitude,Longitude,Altitude,Antenna Height,Northing,Easting,Elevation,Solution Status,Used satellites,Tracked satellites,PDOP,HRMS,VRMS,AGE,Local date,Local time,Base ID,Base Latitude,Base Longitude,Base Altitude,Base North,Base East,Base Height,Distance to Ref,Inclination correction,Inclined angle,Projected angle,Correction x,Correction y,Correction h,Target,Station.,Offset,Elevation diff.,Dist to start,Tower Name,Tower No.,Azimuth,Pitch Angle
0001,,42°23'01.0219",21°06'27.0062",662.829,0.000,0.000,0.000,42°23'01.0219",21°06'27.0062",662.829,2.07,4693784.102,7508852.020,662.829,FIXED,26,27,0.98,0.005,0.006,1,2026-04-29,09:07:49,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,33.562,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,662.829,,,,9°18'05.1426",-2°12'36.1664"
0002,,42°23'01.0215",21°06'27.0057",663.025,0.000,0.000,0.000,42°23'01.0215",21°06'27.0057",663.025,1.87,4693784.091,7508852.008,663.025,FIXED,25,26,0.98,0.005,0.006,1,2026-04-29,09:08:09,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,33.574,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,663.025,,,,9°17'26.3296",-2°33'30.6334"
0003,,42°23'00.7116",21°06'26.4680",663.240,0.000,0.000,0.000,42°23'00.7116",21°06'26.4680",663.240,1.87,4693774.513,7508839.722,663.240,FIXED,25,26,1.03,0.009,0.011,1,2026-04-29,09:16:45,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,46.213,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,90.87,0.02,663.24,,,,22°34'01.2469",-2°07'18.9134"
0004,,42°23'00.7174",21°06'26.4730",662.794,0.000,0.000,0.000,42°23'00.7174",21°06'26.4730",662.794,1.87,4693774.692,7508839.835,662.794,FIXED,21,24,1.11,0.057,0.144,1,2026-04-29,09:18:08,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,45.973,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,662.794,,,,22°31'22.4697",-1°34'33.5303"
0005,,42°23'00.2076",21°06'26.1198",662.880,0.000,0.000,0.000,42°23'00.2073",21°06'26.1201",662.870,1.87,4693758.945,7508831.783,662.870,FIXED,24,25,1.1,0.007,0.012,1,2026-04-29,09:24:59,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,63.593,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,108.346,-0.052,662.87,,,,23°48'00.6501",-1°12'56.8901"
0006,,42°22'59.2393",21°06'25.4615",664.483,0.000,0.000,0.000,42°22'59.2393",21°06'25.4615",664.483,1.87,4693729.060,7508816.757,664.483,FIXED,23,26,1.17,0.015,0.023,1,2026-04-29,09:30:55,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,97.064,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,664.483,,,,24°47'30.857",-1°44'34.3105"
0007,,42°22'57.8799",21°06'25.0648",666.527,0.000,0.000,0.000,42°22'57.8799",21°06'25.0648",666.527,1.87,4693687.109,7508807.736,666.527,FIXED,25,26,1.02,0.007,0.01,1,2026-04-29,09:36:00,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,139.308,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,666.527,,,,20°55'01.0612",-2°03'17.1431"
0008,,42°22'56.8194",21°06'26.9684",668.052,0.000,0.000,0.000,42°22'56.8194",21°06'26.9684",668.052,1.87,4693654.443,7508851.319,668.052,FIXED,26,27,1.03,0.008,0.01,1,2026-04-29,09:39:48,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,162.972,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,668.052,,,,2°08'30.1804",-2°17'32.5879"
0009,,42°22'56.6647",21°06'27.0801",668.237,0.000,0.000,0.000,42°22'56.6647",21°06'27.0801",668.237,1.87,4693649.673,7508853.879,668.237,FIXED,25,27,1.03,0.004,0.008,1,2026-04-29,09:41:41,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,167.669,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,668.237,,,,1°12'18.7255",-2°17'28.2321"
0010,,42°22'57.1025",21°06'28.1418",667.677,0.000,0.000,0.000,42°22'57.1025",21°06'28.1418",667.677,1.87,4693663.212,7508878.148,667.677,FIXED,25,26,1.03,0.006,0.01,1,2026-04-29,09:42:50,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,155.47,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,667.677,,,,352°19'08.6781",-2°15'53.4121"
0011,,42°22'57.3973",21°06'29.6450",666.298,0.000,0.000,0.000,42°22'57.3973",21°06'29.6450",666.298,2.47,4693672.350,7508912.519,666.298,FIXED,24,26,1.06,0.009,0.016,1,2026-04-29,09:45:22,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,155.044,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,666.298,,,,339°09'22.1322",-1°46'21.2328"
0012,,42°22'57.2498",21°06'28.8933",667.056,0.000,0.000,0.000,42°22'57.2498",21°06'28.8933",667.056,2.47,4693667.778,7508895.332,667.056,FIXED,26,27,1.03,0.005,0.008,1,2026-04-29,09:47:51,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,154.256,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,667.056,,,,345°44'25.9765",-2°03'12.907"
0013,,42°22'57.6586",21°06'30.2832",665.244,0.000,0.000,0.000,42°22'57.6586",21°06'30.2832",665.244,2.47,4693680.430,7508927.107,665.244,FIXED,26,27,1.03,0.005,0.008,1,2026-04-29,09:50:26,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,153.532,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,665.244,,,,332°58'06.075",-1°23'08.5496"
0014,,42°22'57.9484",21°06'30.8648",664.910,0.000,0.000,0.000,42°22'57.9484",21°06'30.8648",664.910,2.47,4693689.390,7508940.399,664.910,FIXED,26,27,1.03,0.005,0.007,1,2026-04-29,09:51:28,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,152.413,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,664.91,,,,326°58'12.6724",-1°16'12.8883"
0015,,42°22'58.2021",21°06'31.3352",665.532,0.000,0.000,0.000,42°22'58.2021",21°06'31.3352",665.532,2.47,4693697.231,7508951.148,665.532,FIXED,26,26,1.03,0.005,0.007,1,2026-04-29,09:53:13,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,152.305,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,261.421,0.009,665.532,,,,321°57'36.7624",-1°30'18.6385"
0016,,42°22'58.3254",21°06'31.1633",665.451,0.000,0.000,0.000,42°22'58.3254",21°06'31.1633",665.451,2.47,4693701.030,7508947.212,665.451,FIXED,27,27,1.03,0.008,0.012,1,2026-04-29,09:56:19,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,146.89,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,665.451,,,,322°15'24.4421",-1°31'45.6006"
0017,,42°22'59.3991",21°06'29.4604",664.539,0.000,0.000,0.000,42°22'59.3991",21°06'29.4604",664.539,2.47,4693734.106,7508908.218,664.539,FIXED,27,27,0.96,0.004,0.007,1,2026-04-29,09:58:33,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,97.449,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,664.539,,,,328°30'21.3038",-1°46'10.613"
0018,,42°22'59.9470",21°06'28.5340",664.075,0.000,0.000,0.000,42°22'59.9470",21°06'28.5340",664.075,2.47,4693750.983,7508887.008,664.075,FIXED,28,28,0.88,0.005,0.007,1,2026-04-29,10:00:04,3531,42°23'02.0896",21°06'27.2433",661.532,4693817.051,7508857.400,661.532,72.587,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,664.075,,,,335°51'38.1929",-2°00'36.956"
P1,,42°25'51.9911",21°02'33.8742",615.877,0.000,0.000,0.000,42°25'51.9911",21°02'33.8742",615.877,1.82,4699054.271,7503516.921,615.877,FIXED,24,25,1.07,0.005,0.008,1,2026-05-05,09:17:24,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,484.866,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,-0,,,,314°06'51.0161",1°26'11.9951"
P2,,42°25'52.6742",21°02'37.9024",615.200,0.000,0.000,0.000,42°25'52.6742",21°02'37.9024",615.200,1.82,4699075.392,7503608.979,615.200,FIXED,25,25,1.18,0.005,0.008,1,2026-05-05,09:21:24,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,542.101,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,-0,,,,305°42'21.3443",1°21'31.4024"
P3,,42°25'51.4176",21°02'35.5159",615.542,0.000,0.000,0.000,42°25'51.4176",21°02'35.5159",615.542,1.82,4699036.596,7503554.454,615.542,FIXED,24,24,1.021,0.006,0.009,1,2026-05-05,09:24:14,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,524.296,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,-0,,,,312°38'09.272",1°21'48.4023"
00100,ref,42°22'16.8621",21°12'10.1626",626.147,0.000,0.000,0.000,42°22'16.8621",21°12'10.1626",626.147,1.87,4692435.984,7516704.313,626.147,FIXED,32,32,0.92,0.008,0.014,1,2026-05-08,12:02:18,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,14.268,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,-0,,,,192°42'26.1164",4°09'08.1238"
00101,mexh,42°22'16.7955",21°12'10.2426",626.224,0.000,0.000,0.000,42°22'16.7955",21°12'10.2426",626.224,1.87,4692433.934,7516706.148,626.224,FIXED,33,33,0.84,0.009,0.014,1,2026-05-08,12:04:20,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,12.877,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,626.224,,,,202°45'37.0446",4°21'13.9341"
00102,mexh,42°22'16.8567",21°12'10.7755",626.335,0.000,0.000,0.000,42°22'16.8567",21°12'10.7755",626.335,1.87,4692435.853,7516718.335,626.335,FIXED,33,33,0.84,0.005,0.008,1,2026-05-08,12:07:06,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,22.021,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,626.335,,,,231°15'38.4542",2°12'23.7308"
00103,mexh,42°22'16.6680",21°12'10.8398",626.553,0.000,0.000,0.000,42°22'16.6680",21°12'10.8398",626.553,1.87,4692430.033,7516719.819,626.553,FIXED,33,33,0.84,0.005,0.007,1,2026-05-08,12:08:12,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,20.303,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,626.553,,,,246°55'19.5597",1°47'49.7339"
00104,mexh,42°22'13.7724",21°12'11.8256",625.614,0.000,0.000,0.000,42°22'13.7724",21°12'11.8256",625.614,1.87,4692340.751,7516742.587,625.614,FIXED,32,32,0.91,0.005,0.008,1,2026-05-08,12:17:22,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,91.293,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,625.614,,,,333°01'10.5879",0°59'25.7787"
00105,mexh,42°22'13.5347",21°12'11.9059",625.472,0.000,0.000,0.000,42°22'13.5347",21°12'11.9059",625.472,1.87,4692333.419,7516744.440,625.472,FIXED,31,31,0.91,0.005,0.007,1,2026-05-08,12:18:26,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,98.683,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,625.472,,,,333°59'55.0758",1°00'11.8257"
00106,mexh,42°22'12.1269",21°12'12.2432",624.491,0.000,0.000,0.000,42°22'12.1269",21°12'12.2432",624.491,1.87,4692290.004,7516752.262,624.491,FIXED,31,31,0.9,0.004,0.007,1,2026-05-08,12:22:20,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,141.652,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,44.115,0.006,624.491,,,,338°51'11.9317",1°05'22.7607"
00107,mexh,42°22'12.1244",21°12'12.2244",624.542,0.000,0.000,0.000,42°22'12.1244",21°12'12.2244",624.542,1.87,4692289.926,7516751.831,624.542,FIXED,31,31,0.9,0.005,0.007,1,2026-05-08,12:22:37,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,141.569,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,44.115,0.443,624.542,,,,339°01'48.5863",1°04'00.3887"
00108,mexh,42°22'11.6946",21°12'12.3474",624.329,0.000,0.000,0.000,42°22'11.6946",21°12'12.3474",624.329,1.87,4692276.672,7516754.677,624.329,FIXED,31,31,0.9,0.006,0.009,1,2026-05-08,12:23:39,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,154.982,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,624.329,,,,339°48'02.9283",1°03'44.1478"
00109,,42°22'10.5915",21°12'12.4765",623.935,0.000,0.000,0.000,42°22'10.5915",21°12'12.4765",623.935,1.87,4692242.646,7516757.713,623.935,FIXED,31,31,0.9,0.005,0.006,1,2026-05-08,12:26:28,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,188.183,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,623.935,,,,342°30'46.1406",0°59'29.487"
00110,,42°22'10.7844",21°12'12.1862",623.749,0.000,0.000,0.000,42°22'10.7844",21°12'12.1862",623.749,1.87,4692248.583,7516751.056,623.749,FIXED,31,31,0.89,0.005,0.007,1,2026-05-08,12:29:27,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,180.577,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,623.749,,,,343°57'42.8407",1°05'31.1616"
00111,,42°22'07.2011",21°12'12.5803",622.601,0.000,0.000,0.000,42°22'07.2011",21°12'12.5803",622.601,1.87,4692138.050,7516760.338,622.601,FIXED,30,30,0.89,0.005,0.007,1,2026-05-08,12:46:08,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,290.207,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,622.601,,,,348°14'05.2749",0°54'22.3789"
00112,,42°22'07.1140",21°12'11.6705",622.689,0.000,0.000,0.000,42°22'07.1140",21°12'11.6705",622.689,1.87,4692135.314,7516739.530,622.689,FIXED,30,30,0.89,0.005,0.007,1,2026-05-08,12:48:43,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,289.399,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,622.689,,,,352°22'58.3321",0°53'29.0694"
00113,,42°22'06.9592",21°12'10.6915",620.931,0.000,0.000,0.000,42°22'06.9592",21°12'10.6915",620.931,1.87,4692130.483,7516717.142,620.931,FIXED,30,30,0.88,0.005,0.006,1,2026-05-08,12:50:01,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,292.135,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,620.931,,,,356°51'59.1915",1°13'39.2323"
00114,,42°22'12.0072",21°12'10.2108",625.112,0.000,0.000,0.000,42°22'12.0072",21°12'10.2108",625.112,1.87,4692286.201,7516705.772,625.112,FIXED,30,30,0.88,0.008,0.007,1,2026-05-08,13:01:59,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,135.995,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,58.869,-0.006,625.112,,,,358°03'49.798",0°52'33.5364"
00115,,42°22'13.1939",21°12'09.9997",625.100,0.000,0.000,0.000,42°22'13.1939",21°12'09.9997",625.100,1.87,4692322.801,7516700.856,625.100,FIXED,32,32,0.94,0.006,0.006,1,2026-05-08,13:04:07,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,99.311,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,625.1,,,,0°11'09.5176",1°12'23.8089"
00116,,42°22'13.3142",21°12'09.9822",625.125,0.000,0.000,0.000,42°22'13.3142",21°12'09.9822",625.125,1.87,4692326.513,7516700.447,625.125,FIXED,30,30,0.94,0.008,0.008,1,2026-05-08,13:04:45,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,95.601,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,625.125,,,,0°26'17.1953",1°14'17.9611"
00117,Bunari,42°22'13.7266",21°12'10.7791",625.681,0.000,0.000,0.000,42°22'13.7266",21°12'10.7791",625.681,1.87,4692339.281,7516718.647,625.681,FIXED,31,31,0.86,0.005,0.005,1,2026-05-08,13:06:41,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,84.651,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,625.681,,,,348°05'27.3481",1°01'17.0913"
00118,Bunari,42°22'14.7179",21°12'09.4772",625.888,0.000,0.000,0.000,42°22'14.7179",21°12'09.4772",625.888,1.87,4692369.793,7516688.791,625.888,FIXED,28,29,0.89,0.006,0.006,1,2026-05-08,13:09:18,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,53.76,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,625.888,,,,13°19'14.0889",1°23'52.0805"
00119,Ndarje,42°22'14.8674",21°12'10.1058",625.911,0.000,0.000,0.000,42°22'14.8674",21°12'10.1058",625.911,1.87,4692374.440,7516703.161,625.911,FIXED,30,30,0.85,0.007,0.007,1,2026-05-08,13:14:14,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,47.706,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,93.381,-0.95,625.911,,,,357°37'46.693",1°32'38.1123"
00120,Ndarje,42°22'14.7306",21°12'09.4738",625.901,0.000,0.000,0.000,42°22'14.7306",21°12'09.4738",625.901,1.87,4692370.186,7516688.712,625.901,FIXED,31,32,0.81,0.004,0.005,1,2026-05-08,13:19:25,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,53.396,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,44.965,-0.026,0.136,,,,13°32'36.8804",1°23'06.9865"
00121,,42°22'16.0713",21°12'08.9564",625.592,0.000,0.000,0.000,42°22'16.0713",21°12'08.9564",625.592,1.87,4692411.520,7516676.776,625.592,FIXED,24,27,1,0.037,0.057,1,2026-05-08,13:22:35,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,26.601,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,625.592,,,,66°32'14.5858",3°25'19.2779"
00122,,42°22'16.6224",21°12'08.7585",625.820,0.000,0.000,0.000,42°22'16.6224",21°12'08.7585",625.820,1.87,4692428.512,7516672.208,625.820,FIXED,26,27,0.95,0.005,0.007,1,2026-05-08,13:23:12,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,29.683,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,625.82,,,,102°26'49.5392",2°40'26.1337"
00123,Asfallt,42°22'16.6418",21°12'08.1766",625.487,0.000,0.000,0.000,42°22'16.6418",21°12'08.1766",625.487,1.87,4692429.081,7516658.894,625.487,FIXED,28,29,0.88,0.023,0.027,1,2026-05-08,13:24:52,249,42°22'16.4121",21°12'10.0241",627.192,4692422.092,7516701.178,627.192,42.866,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,-0,,,,99°23'08.1902",2°16'31.532"
